ID,Unternehmen,Geschäftsführer,Branchen,Sitz,Anschrift: Straße,Anschrift: PLZ,Anschrift: City,Anschrift: Land,Stammkapital,Persönliche haftender Gesellschafter (Natürliche Person),Persönliche haftender Gesellschafter (Unternehmen),Leitende Direktoren,Liquidatoren,Gegenstand/Geschäftszweck
amtsgericht-mannheim-hrb-743886,MTH Mannheimer Transport- und Handelsgesellschaft UG (haftungsbeschränkt),Mustafa Arslan,Logistics,"Mannheim, DE",Merzinger Straße 2a,68309,Mannheim,DE,500.00 EUR,,,,,"Der nationale und internationale Transport- und Kurierdienst mit dem Kraftfahrzeug mit einem zulässigen Gesamtgewicht von bis zu 3,5 Tonnen, die Vermietung und Vermittlung von Kraftfahrzeugen und Anhängern aller Art und der Handel mit Kraftfahrzeugen, Anhängern und Kraftfahrzeugteilen aller Art sowie alle damit verbunden Dienstleistungen. Ferner die Durchführung von Personen- und Sachbeförderungen sowie deren Vermittlung; der Betrieb von Taxi- und Mietwagenunternehmen. Zudem die Produktion und der Vertrieb von Tonträgern aller Art; die Veranstaltung von Events aller Art; die Herstellung und der Handel mit Werbe- und Fanartikeln, physischen und digitalen Tonträgern; die Künstlervermittlung; das Management für Künstler sowie Beratungstätigkeiten im vorgenannten Bereich."
amtsgericht-frankfurt-am-main-hrb-128913,EAWD Logistik GmbH,"Irma Valezquez Diaz, Ralph Max Hofmeier",Logistics,"Frankfurt am Main, DE",Schumannstraße 27,60325,Frankfurt am Main,DE,25000.00 EUR,,,,,"Die Erbringung von Logistikdienstleistungen, insbesondere durch elektrisch betriebene Fahrzeuge, sowie die Planung, die Errichtung, der Betrieb und die Wartung von Ladestationen für Elektrofahrzeuge."
amtsgericht-mannheim-hra-706271,TBS Transportbeton im Osthafen Frankfurt GmbH & Co. KG,,Logistics,"Mannheim, DE",Rheinvorlandstraße 5,68159,Mannheim,DE,-,,TBS Transportbeton im Osthafen Frankfurt Verwaltungsgesellschaft mbH,,,
amtsgericht-koenigstein-im-taunus-hrb-7091,BILO Transport GmbH,Hans Berghoff,Logistics,"Eppstein, DE",Valterweg 31,65817,Eppstein,DE,100000.00 DEM,,,,,"1. Güternahverkehr sowie Kleintransporte bis 750 kg, 
2. Vermittlung und Abrechnung von Transportaufträgen, 
3. Vermietung und Leasing von Fahrzeugen, Transportmitteln und sonstigen mobilen Investitionsgütern, 
4.Tätigkeit als Handelsvertreter, 
5. technische und wirtschaftliche Unternehmensberatung einschließlich Büroservice und Vermietung von Büroräumen."
amtsgericht-offenbach-hrb-42668,Schneider Logistik GmbH,Hermann Schneider,Logistics,"Dreieich, DE",Raiffeisenstraße 5,63303,Dreieich,DE,25000.00 EUR,,,,,"die Unternehmensberatung im Bereich der Logistik, soweit die Beratung keine Genehmigung erfordert"
amtsgericht-frankfurt-am-main-hrb-94857,M & N Transport Global Logistics GmbH,"Mesut Isik, Nuriye Isik",Logistics,"Frankfurt am Main, DE",Europa Allee 120,60486,Frankfurt am Main,DE,25000.00 EUR,,,,,Vermittlung von internationalen Transporten.
amtsgericht-mannheim-hrb-721065,ALFA-BAU GmbH,,Logistics,"Mannheim, DE",Oppauer Str. 15,68305,Mannheim,DE,25000.00 EUR,,,,,"Gebäudereinigung, Trockenbau und Fließenarbeiten, Kleintransporte, Baudienstleistungen. Tätigkeiten, für die eine besondere Genehmigung/Erlaubnis erforderlich ist, sind ausgeschlossen."
amtsgericht-mannheim-hra-360936,Munz GmbH & Co KG Lager und Logistik,,Logistics,"Ettlingen, DE",Daimlerstraße 3,76275,Ettlingen,DE,-,,Munz GmbH,,,
amtsgericht-aschaffenburg-hrb-11827,Aschaffenburger Courier Logistics GmbH,Zoran Danicic,Logistics,"Aschaffenburg, DE",Rotäckerstraße 82,63743,Aschaffenburg,DE,25000.00 EUR,,,,,Güterkraftverkehr und Logistik
amtsgericht-frankfurt-am-main-hrb-113461,AST International Express and Logistics GmbH,Ruixiang Ye,Logistics,"Frankfurt am Main, DE",Westendstraße 16-22,60325,Frankfurt am Main,DE,25000.00 EUR,,,,,"ist die Erbringung von Logistikdienstleistungen, insbesondere Warehousing-, Fulfillment- und Abwicklungsservice für Online-Geschäfte und traditionellen internaionalen Handel, Organisation und Durchführung von internationalen Transporten sowie die dazugehörende Beratung, Lagerservice sowie alle damit in Zusammenhang stehenden Dienstleistungen"
